food_id,name,calories,protein,fat,carbs,protein_ratio,fat_ratio,carb_ratio,category,display_name,type,original_display_name,dish_name_vi,clean_category,food_group_vi,preparation_method,is_raw_ingredient,is_generic_name,is_brand_or_restaurant,kcal_per_100g_clean,recommended_serving_g,serving_display,kcal_per_serving_clean,protein_per_serving_clean,fat_per_serving_clean,carbs_per_serving_clean,health_weight_gain_score,menu_eligible,quality_flags,image_search_query_vi,image_requirement
321359,"milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",129.5,3.35,1.9,4.91,0.1034749026758694,0.1320463310266692,0.1516602304891102,dairy,Sữa tươi (giảm béo),balanced,Sữa tươi (giảm béo),Sữa tươi (giảm béo),dairy,Sữa,,false,false,false,50.14,250,1 ly/hộp,125.3,8.4,4.8,12.3,80,true,calories_column_not_per_100g,Sữa tươi (giảm béo),"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
321360,"tomatoes, grape, raw",70.0,0.83,0.63,5.51,0.047428571,0.080999999,0.3148571383591837,fruit,Cà chua (sống),balanced,Cà chua (sống),Cà chua (sống),vegetable,Rau củ,sống,true,false,false,31.03,250,1 bát rau,77.6,2.1,1.6,13.8,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
321900,"broccoli, raw",82.0,2.57,0.34,6.29,0.1253658521296847,0.037317073,0.3068292645508626,vegetable,Bông cải xanh (sống),balanced,Bông cải xanh (sống),Bông cải xanh (sống),vegetable,Rau củ,sống,true,false,false,38.5,208,1 bát rau,80.1,5.3,0.7,13.1,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
322228,"milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d",111.0,3.38,0.95,5.19,0.1218018007044882,0.077027026,0.1870270253420989,dairy,Sữa tươi (ít béo),balanced,Sữa tươi (ít béo),Sữa tươi (ít béo),dairy,Sữa,,false,false,false,42.83,250,1 ly/hộp,107.1,8.4,2.4,13.0,80,true,calories_column_not_per_100g,Sữa tươi (ít béo),"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
322559,"milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)",88.5,3.43,0.08,4.89,0.155028247,0.008135593,0.2210169466551757,dairy,Sữa tươi (không béo),balanced,Sữa tươi (không béo),Sữa tươi (không béo),dairy,Sữa,,false,false,false,34.0,250,1 ly/hộp,85.0,8.6,0.2,12.2,80,true,calories_column_not_per_100g,Sữa tươi (không béo),"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
322892,"milk, whole, 3.25% milkfat, with added vitamin d",156.0,3.28,3.2,4.67,0.084102564,0.1846153834319527,0.1197435889760026,dairy,Sữa tươi,balanced,Sữa tươi,Sữa tươi,dairy,Sữa,,false,false,false,60.6,250,1 ly/hộp,151.5,8.2,8.0,11.7,80,true,calories_column_not_per_100g,Sữa tươi,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
323121,"frankfurter, beef, unheated",812.0,11.7,28.0,2.89,0.057635468,0.3103448272040088,0.014236453,meat,Xúc xích,high_calorie,Xúc xích,Xúc xích,protein_meat,Đạm - Thịt,,false,false,false,310.36,90,1 phần thịt vừa,279.3,10.5,25.2,2.6,95,true,calories_column_not_per_100g,Xúc xích,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
323444,"cheese, ricotta, whole milk",407.0,7.81,11.0,6.86,0.076756757,0.243243243,0.067420147,dairy,Phô mai ricotta,high_calorie,Phô mai ricotta,Phô mai ricotta,dairy,Sữa,,false,false,false,157.68,150,1 ly/hộp,236.5,11.7,16.5,10.3,90,true,calories_column_not_per_100g,Phô mai ricotta,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
323505,"kale, raw",91.5,2.92,1.49,4.42,0.1276502718289587,0.1465573754474604,0.1932240416041088,other,Cải xoăn (sống),balanced,Cải xoăn (sống),Cải xoăn (sống),vegetable,Rau củ,sống,true,false,false,42.77,187,1 bát rau,80.0,5.5,2.8,8.3,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
324038,"sauce, salsa, ready-to-serve",75.5,1.44,0.19,6.74,0.07629139,0.022649006,0.3570860879856147,other,Sốt salsa,balanced,Sốt salsa,Sốt salsa,other,Khác,,false,false,false,34.43,150,1 phần vừa,51.6,2.2,0.3,10.1,70,false,calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
324157,"sausage, breakfast sausage, beef, pre-cooked, unprepared",849.0,13.3,28.7,3.37,0.062661955,0.304240282,0.015877503,meat,Xúc xích bò (chín),high_calorie,Xúc xích bò (chín),Xúc xích bò (chín),protein_meat,Đạm - Thịt,chín,true,false,false,324.98,90,1 phần thịt vừa,292.5,12.0,25.8,3.0,60,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
324317,"onion rings, breaded, par fried, frozen, prepared, heated in oven",749.0,4.52,14.4,36.3,0.024138852,0.1730307073791312,0.1938584777118044,grain,Hành tây (chiên),high_calorie,Hành tây (chiên),Hành tây (chiên),fried_processed,Món chiên/chế biến sẵn,chiên,false,false,false,292.88,68,1 phần nhỏ,199.2,3.1,9.8,24.7,45,false,dessert_or_junk;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
324653,"pickles, cucumber, dill or kosher dill",31.0,0.48,0.43,1.99,0.061935482,0.1248387056503643,0.2567741852653488,other,Dưa chuột,balanced,Dưa chuột,Dưa chuột,vegetable,Rau củ,,false,false,false,13.75,250,1 bát rau,34.4,1.2,1.1,5.0,80,true,calories_column_not_per_100g,Dưa chuột,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
325430,"peaches, yellow, raw",108.0,0.91,0.27,10.1,0.033703703,0.0225,0.3740740706104252,other,Đào vàng (sống),balanced,Đào vàng (sống),Đào vàng (sống),fruit,Trái cây,sống,true,false,false,46.47,180,1 phần trái cây,83.6,1.6,0.5,18.2,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
325658,"sausage, italian, pork, mild, cooked, pan-fried",836.0,18.2,26.2,2.15,0.08708134,0.2820574159305533,0.010287081,meat,Xúc xích Ý (chín),high_calorie,Xúc xích Ý (chín),Xúc xích Ý (chín),fried_processed,Món chiên/chế biến sẵn,áp chảo,false,false,false,317.2,63,1 phần nhỏ,199.8,11.5,16.5,1.4,50,false,dessert_or_junk;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
325871,"bread, white, commercially prepared",700.0,9.43,3.59,49.2,0.053885714,0.046157143,0.2811428567412245,grain,Bánh mì trắng,high_calorie,Bánh mì trắng,Bánh mì trắng,starch_grain,Tinh bột - Ngũ cốc,,false,false,false,266.83,100,1 chén/bát vừa,266.8,9.4,3.6,49.2,95,true,calories_column_not_per_100g,Bánh mì trắng,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
326196,"kale, frozen, cooked, boiled, drained, without salt",93.5,2.94,1.21,5.3,0.1257753997243272,0.1164705869896194,0.2267379654894335,other,"Cải xoăn (chín, luộc)",balanced,"Cải xoăn (chín, luộc)","Cải xoăn (chín, luộc)",vegetable,Rau củ,luộc,false,false,false,43.85,182,1 bát rau,79.8,5.4,2.2,9.6,80,true,calories_column_not_per_100g,"Cải xoăn (chín, luộc)","Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
326458,"carrots, frozen, unprepared (includes foods for usda's food distribution program)",95.0,0.81,0.47,7.92,0.034105263,0.044526315,0.333473681,vegetable,Cà rốt,balanced,Cà rốt,Cà rốt,vegetable,Rau củ,,true,false,false,39.15,204,1 bát rau,79.9,1.7,1.0,16.2,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
326698,"mustard, prepared, yellow",157.5,4.25,3.38,5.3,0.1079365072511967,0.1931428559165532,0.1346031737485512,other,Mù tạt vàng,balanced,Mù tạt vàng,Mù tạt vàng,other,Khác,,false,false,false,68.62,150,1 phần vừa,102.9,6.4,5.1,8.0,70,false,calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
326905,"figs, dried, uncooked",644.5,3.3,0.92,63.9,0.020480993,0.012847168,0.396586501,other,Sung khô,high_calorie,Sung khô,Sung khô,fruit,Trái cây,chín,true,false,false,277.08,100,1 phần trái cây,277.1,3.3,0.9,63.9,55,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
327046,"kiwifruit, green, raw",149.5,1.06,0.44,14.0,0.028361204,0.026488294,0.3745819372937663,fruit,Kiwi xanh (sống),balanced,Kiwi xanh (sống),Kiwi xanh (sống),fruit,Trái cây,sống,true,false,false,64.2,156,1 phần trái cây,100.2,1.7,0.7,21.8,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
