food_id,original_name,display_name,dish_name_vi,clean_category,food_group_vi,meal_role,recommended_serving_g,serving_display,kcal_per_100g_clean,protein_per_100g_clean,fat_per_100g_clean,carbs_per_100g_clean,kcal_per_serving_clean,protein_per_serving_clean,fat_per_serving_clean,carbs_per_serving_clean,menu_eligible,quality_flags,image_url,image_alt_vi,image_source_type,image_verified,image_quality_note,search_keywords
321359,"milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",Sữa tươi (giảm béo),Sữa tươi (giảm béo),dairy,Sữa,energy_side,250,1 ly/hộp,50.14,3.35,1.9,4.91,125.3,8.4,4.8,12.3,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Sữa tươi (giảm béo),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sữa tươi (giảm béo)
321360,"tomatoes, grape, raw",Cà chua (sống),Cà chua (sống),vegetable,Rau củ,vegetable_fruit,250,1 bát rau,31.03,0.83,0.63,5.51,77.6,2.1,1.6,13.8,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/vegetable.svg,Ảnh minh họa món Cà chua (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Cà chua (sống)
321900,"broccoli, raw",Bông cải xanh (sống),Bông cải xanh (sống),vegetable,Rau củ,vegetable_fruit,208,1 bát rau,38.5,2.57,0.34,6.29,80.1,5.3,0.7,13.1,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/vegetable.svg,Ảnh minh họa món Bông cải xanh (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Bông cải xanh (sống)
322228,"milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d",Sữa tươi (ít béo),Sữa tươi (ít béo),dairy,Sữa,energy_side,250,1 ly/hộp,42.83,3.38,0.95,5.19,107.1,8.4,2.4,13.0,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Sữa tươi (ít béo),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sữa tươi (ít béo)
322559,"milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)",Sữa tươi (không béo),Sữa tươi (không béo),dairy,Sữa,energy_side,250,1 ly/hộp,34.0,3.43,0.08,4.89,85.0,8.6,0.2,12.2,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Sữa tươi (không béo),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sữa tươi (không béo)
322892,"milk, whole, 3.25% milkfat, with added vitamin d",Sữa tươi,Sữa tươi,dairy,Sữa,energy_side,250,1 ly/hộp,60.6,3.28,3.2,4.67,151.5,8.2,8.0,11.7,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Sữa tươi,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sữa tươi
323121,"frankfurter, beef, unheated",Xúc xích,Xúc xích,protein_meat,Đạm - Thịt,protein,90,1 phần thịt vừa,310.36,11.7,28.0,2.89,279.3,10.5,25.2,2.6,1,calories_column_not_per_100g;processed_meat_limit_for_eat_clean,/images/placeholders/protein-meat.svg,Ảnh minh họa món Xúc xích,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Xúc xích
323444,"cheese, ricotta, whole milk",Phô mai ricotta,Phô mai ricotta,dairy,Sữa,energy_side,150,1 ly/hộp,157.68,7.81,11.0,6.86,236.5,11.7,16.5,10.3,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Phô mai ricotta,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Phô mai ricotta
323505,"kale, raw",Cải xoăn (sống),Cải xoăn (sống),vegetable,Rau củ,vegetable_fruit,187,1 bát rau,42.77,2.92,1.49,4.42,80.0,5.5,2.8,8.3,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/vegetable.svg,Ảnh minh họa món Cải xoăn (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Cải xoăn (sống)
324038,"sauce, salsa, ready-to-serve",Sốt salsa,Sốt salsa,other,Khác,other,150,1 phần vừa,34.43,1.44,0.19,6.74,51.6,2.2,0.3,10.1,0,calories_column_not_per_100g,/images/placeholders/food-default.svg,Ảnh minh họa món Sốt salsa,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sốt salsa
324157,"sausage, breakfast sausage, beef, pre-cooked, unprepared",Xúc xích bò (chín),Xúc xích bò (chín),protein_meat,Đạm - Thịt,protein,90,1 phần thịt vừa,324.98,13.3,28.7,3.37,292.5,12.0,25.8,3.0,0,raw_ingredient;calories_column_not_per_100g;processed_meat_limit_for_eat_clean,/images/placeholders/protein-meat.svg,Ảnh minh họa món Xúc xích bò (chín),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Xúc xích bò (chín)
324317,"onion rings, breaded, par fried, frozen, prepared, heated in oven",Hành tây (chiên),Hành tây (chiên),fried_processed,Món chiên/chế biến sẵn,limited_or_excluded,68,1 phần nhỏ,292.88,4.52,14.4,36.3,199.2,3.1,9.8,24.7,0,dessert_or_junk;calories_column_not_per_100g,/images/placeholders/food-default.svg,Ảnh minh họa món Hành tây (chiên),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Hành tây (chiên)
324653,"pickles, cucumber, dill or kosher dill",Dưa chuột,Dưa chuột,vegetable,Rau củ,vegetable_fruit,250,1 bát rau,13.75,0.48,0.43,1.99,34.4,1.2,1.1,5.0,1,calories_column_not_per_100g,/images/placeholders/vegetable.svg,Ảnh minh họa món Dưa chuột,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Dưa chuột
325430,"peaches, yellow, raw",Đào vàng (sống),Đào vàng (sống),fruit,Trái cây,vegetable_fruit,180,1 phần trái cây,46.47,0.91,0.27,10.1,83.6,1.6,0.5,18.2,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/fruit.svg,Ảnh minh họa món Đào vàng (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Đào vàng (sống)
325658,"sausage, italian, pork, mild, cooked, pan-fried",Xúc xích Ý (chín),Xúc xích Ý (chín),fried_processed,Món chiên/chế biến sẵn,limited_or_excluded,63,1 phần nhỏ,317.2,18.2,26.2,2.15,199.8,11.5,16.5,1.4,0,dessert_or_junk;calories_column_not_per_100g;processed_meat_limit_for_eat_clean,/images/placeholders/food-default.svg,Ảnh minh họa món Xúc xích Ý (chín),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Xúc xích Ý (chín)
325871,"bread, white, commercially prepared",Bánh mì trắng,Bánh mì trắng,starch_grain,Tinh bột - Ngũ cốc,starch,100,1 chén/bát vừa,266.83,9.43,3.59,49.2,266.8,9.4,3.6,49.2,1,calories_column_not_per_100g,/images/placeholders/starch-grain.svg,Ảnh minh họa món Bánh mì trắng,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Bánh mì trắng
